Question,Answer
Можно ли через МФЦ подать заявление в ЗАГС на регистрацию брака?,"К сожалению, данная услуга Департамента записи актов гражданского состояния Забайкальского края не оказывается на базе Центра 'Мои Документы'. Рекомендуем обратиться непосредственно в Отдел ЗАГС по месту Вашего жительства, либо воспользоваться Единым порталом государственных и муниципальных услуг (если Вы имеете подтвержденную учетную запись на Портале государственных услуг). "
"Можно ли в МФЦ оформить получение пенсии и социальных выплат на социальную карту Сбербанка? В настоящее время моя пенсия и выплаты поступают на сберкнижку. Если имеется возможность, то  как это сделать?","На базе Центра 'Мои документы' оказывается услуга 'Выплата страховых пенсий, накопительной пенсии и пенсий по государственному пенсионному обеспечению'. В рамках данной услуги заявитель может подать заявление о доставке пенсии. Для получения услуги заявителю необходимо обратиться лично в один из филиалов Центра 'Мои документы' для подачи заявления. Нужно предоставить паспорт гражданина РФ и номер лицевого счета для перечисления."
"Подскажите, пожалуйста, возможно ли у вас получить электронную подпись?","Услуга по получению квалифицированной электронной подписи не предоставляется на базе Центра 'Мои Документы'. Рекомендуем обратиться в Удостоверяющий центр Кадастровой палаты по адресу: г. Чита, ул. Анохина, д. 53, пом. 1, телефон для справок 8 (3022) 21-31-67 (доб. 2022)."
"Как через филиал МФЦ в г. Чите получить ИНН в связи со сменой фамилии, учитывая, что прописка в другом городе (г. Хилок).","В Центре 'Мои документы' предоставляется услуга УФНС России по Забайкальскому краю 'Прием заявлений о постановке на учет физических лиц в налоговом органе и выдача свидетельства о постановке на учет'. Предоставление государственной услуги осуществляется по экстерриториальному принципу в пределах Забайкальского края.Вам необходимо представить следующий пакет документов:При повторном получении:В случае изменения идентификационных данных (изменение фамилии):- Заявление (заполняется на месте)- Паспорт - оригинал;- Документы, подтверждающие изменение установочных данных (оригинал).Центр «Мои документы» расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72.Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов.Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиа-лов, поэтому перед посещением Центра рекомендуем уточ-нить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному номеру телефона. "
как получить справку о составе семьи?,"На базе Центра 'Мои документы' предоставляется услуга 'Выдача справок с места жительства гражданам, проживающим в домах индивидуальной застройки'. Для получения услуги необходимо предоставить следующие документы:1)документ, удостоверяющий личность;2)домовую книгу со сведениями, являющимися актуальными на дату обращения за получением муниципальной услуги;3)свидетельства о рождении несовершеннолетних членов семьи;4)свидетельство о смерти лица, в случае не снятия его с регистрационного учета в домовой книге.Дополнительно сообщаем, муниципальная услуга предоставляется в момент обращения.В случае, если Вы проживаете в многоквартирном доме, то для получения справки следует обратиться к юридическому лицу или индивидуальному предпринимателю (Управляющей компании), осуществляющему деятельность по управлению домом.Центр «Мои документы» расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному номеру телефона. "
"Скажите, какие действия нужно предпринять в том случае, если умер член семьи, получающий льготы за коммунальные услуги по удостоверению Ветерана труда? По данному адресу остались проживать его родственники, также относящиеся к льготным категориям граждан и получающие выплаты за коммунальные услуги по тому же адресу. ","В данном случае сведения о смерти орган социальной защиты населения запросит самостоятельно. Но пока это происходит, возможна переплата. Чтобы избежать задолженности, родственникам можно рекомендовать обратиться в орган для передачи сведений о смерти гражданина.  Так же родственникам, имеющим льготы по коммунальным услугам, необходимо написать заявление на внесение изменений для перерасчета их выплат и приложить свидетельство о смерти гражданина и новые справки о составе семьи."
"Я оформила потребительский кредит в Сбербанке, можно ли погасить его с помощью материнского (семейного) капитала?","Потребительский кредит материнским (семейным) капиталом погасить нельзя. Однако, если в кредитном договоре с банком указано, что потребительский кредит взят на приобретение или строительство жилья, тогда погасить этот кредит средствами материнского (семейного) капитала возможно."
"Скажите, пожалуйста, когда в МФЦ состоится ближайший прием заявок о привлечении иностранных работников? И могу ли я обратиться по этому вопросу в офис МФЦ на ул. Генерала Белика? ","На базе Центра 'Мои Документы' оказывается услуга 'Прием заявок работодателей о потребности в привлечении иностранных работников для замещения вакантных и создаваемых рабочих мест, либо выполнения работ (оказания услуг)'.Прием заявок в МФЦ проводится на базе Межрайонного отдела № 1 филиала МФЦ по городу Чите - 672000, г. Чита, ул. Бутина, 72. Сообщаем, что ближайший прием заявок о потребности в привлечении иностранных работников - с 03 апреля 2019 г. по 09 апреля 2019 г."
как получить справку об отсутствии судимости,"Для получения справки о наличии (отсутствии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования Вы можете обратиться в Центр «Мои документы», предъявив документ, удостоверяющий личность, заявление заполняется на месте. ​Срок предоставления государственной услуги не должен превышать 30 дней с даты регистрации заявления.Центр «Мои документы» расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному номеру телефона. "
Как перевести земли сельхозназначения в ИЖС?,"Для осуществления перевода земель или земельных участков в составе таких земель из одной категории в другую необходимо представить в Департамент государственного имущества и земельных отношений Забайкальского края или Цент 'Мои Документы' ходатайство о переводе. С перечнем документов, необходимых в соответствии с нормативными правовыми актами для предоставления государственной услуги, которые являются необходимыми и обязательными для предоставления государственной услуги, подлежащих представлению заявителем, Вы можете ознакомиться, пройдя по ссылке - http://www.mfc-chita.ru/filial/chita/uslugi-mfc/1019.Распоряжение Департамента о переводе либо об отказе в переводе принимается Департаментом в течение 2 месяцев со дня поступления ходатайства в Департамент или КГАУ 'МФЦ' и направляется заявителю в течение 14 календарных дней со дня принятия распоряжения.Центр «Мои документы» расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному номеру телефона. "
